User_ID,Age,Gender,Annual_Income,Risk_Tolerance,Investment_Goal,Preferred_Sector,Investment_Horizon,Current_Investments,Recommended_Portfolio
U1063,45,Female,101482,High,House Purchase,Consumer Goods,Long-term,Stocks,"80% Stocks, 10% Crypto, 10% Cash"
U1064,28,Male,191056,Low,Education,Real Estate,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1065,57,Female,94973,High,Emergency Fund,Finance,Medium-term,Real Estate,"70% Stocks, 20% Bonds, 10% Crypto"
U1066,60,Male,118284,Low,Wealth Growth,Real Estate,Long-term,Stocks,"70% Stocks, 20% Bonds, 10% Crypto"
U1067,47,Male,136921,Medium,Wealth Growth,Finance,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1068,34,Male,74595,Medium,Emergency Fund,Tech,Short-term,Mixed Portfolio,"70% Stocks, 20% Bonds, 10% Crypto"
U1069,39,Male,171962,Medium,Wealth Growth,Real Estate,Medium-term,Mixed Portfolio,"60% Real Estate, 30% Stocks, 10% Bonds"
U1070,37,Other,78832,Medium,Retirement,Tech,Medium-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1071,63,Male,135233,Medium,Emergency Fund,Finance,Medium-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1072,37,Male,157837,Medium,Education,Tech,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1073,52,Male,76791,High,Emergency Fund,Energy,Short-term,Bonds,"70% Stocks, 20% Bonds, 10% Crypto"
U1074,43,Other,64149,Medium,House Purchase,Real Estate,Short-term,Real Estate,"60% Real Estate, 30% Stocks, 10% Bonds"
U1075,33,Female,182335,High,Wealth Growth,Finance,Medium-term,Mutual Funds,"80% Stocks, 10% Crypto, 10% Cash"
U1076,58,Female,139680,Medium,House Purchase,Finance,Short-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1077,32,Male,93203,Medium,Wealth Growth,Healthcare,Short-term,Mixed Portfolio,"80% Stocks, 10% Crypto, 10% Cash"
U1078,38,Female,51123,Medium,Education,Consumer Goods,Long-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1079,27,Male,100550,Medium,Retirement,Real Estate,Short-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1080,49,Male,177479,Medium,Wealth Growth,Healthcare,Medium-term,Bonds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1081,46,Male,39815,Medium,Retirement,Real Estate,Long-term,Bonds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1082,60,Male,133823,Low,Wealth Growth,Finance,Medium-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1083,28,Male,191195,High,House Purchase,Finance,Medium-term,Stocks,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1084,25,Female,79950,Low,Emergency Fund,Real Estate,Medium-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1085,42,Female,137114,High,Education,Consumer Goods,Long-term,Real Estate,"80% Stocks, 10% Crypto, 10% Cash"
U1086,54,Male,29768,High,House Purchase,Consumer Goods,Short-term,Crypto,"70% Stocks, 20% Bonds, 10% Crypto"
U1087,49,Other,122420,Medium,House Purchase,Real Estate,Short-term,Real Estate,"60% Real Estate, 30% Stocks, 10% Bonds"
U1088,46,Male,55872,Low,Education,Finance,Long-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1089,56,Male,113347,Medium,Emergency Fund,Real Estate,Medium-term,Real Estate,"60% Real Estate, 30% Stocks, 10% Bonds"
U1090,25,Female,59056,Medium,Education,Healthcare,Medium-term,Stocks,"60% Real Estate, 30% Stocks, 10% Bonds"
U1091,47,Other,112664,Low,Education,Tech,Medium-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1092,62,Male,126760,High,Wealth Growth,Real Estate,Long-term,Stocks,"80% Stocks, 10% Crypto, 10% Cash"
U1093,58,Female,77965,Medium,House Purchase,Healthcare,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1094,42,Male,50506,Medium,House Purchase,Real Estate,Long-term,Crypto,"60% Real Estate, 30% Stocks, 10% Bonds"
U1095,27,Male,47773,Medium,Education,Healthcare,Long-term,Real Estate,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1096,34,Male,64868,High,Education,Finance,Medium-term,Stocks,"70% Stocks, 20% Bonds, 10% Crypto"
U1097,39,Male,180952,Medium,Education,Tech,Long-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1098,56,Male,116311,Medium,House Purchase,Consumer Goods,Long-term,Bonds,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1099,24,Female,168118,Medium,House Purchase,Consumer Goods,Long-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1100,50,Male,149712,High,Education,Energy,Short-term,Mixed Portfolio,"60% Real Estate, 30% Stocks, 10% Bonds"
U1101,63,Male,24256,Low,Retirement,Energy,Short-term,Mutual Funds,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1102,20,Female,153133,Low,Education,Consumer Goods,Long-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1103,30,Female,104683,Medium,House Purchase,Consumer Goods,Medium-term,Crypto,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1104,22,Female,176486,Medium,House Purchase,Finance,Medium-term,Crypto,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1105,48,Female,189430,High,Retirement,Finance,Short-term,Mutual Funds,"80% Stocks, 10% Crypto, 10% Cash"
U1106,59,Female,129163,Low,Education,Healthcare,Long-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1107,36,Male,163038,Low,House Purchase,Real Estate,Medium-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1108,62,Male,88372,High,House Purchase,Tech,Medium-term,Real Estate,"70% Stocks, 20% Bonds, 10% Crypto"
U1109,23,Female,35129,Medium,House Purchase,Energy,Long-term,Real Estate,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1110,50,Male,106481,Low,Education,Real Estate,Medium-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1111,40,Female,83897,Low,Wealth Growth,Healthcare,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1112,52,Female,97990,Medium,Education,Consumer Goods,Medium-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1113,61,Male,125317,Medium,House Purchase,Tech,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1114,63,Other,157305,Medium,Retirement,Consumer Goods,Long-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1115,59,Male,159149,Medium,Retirement,Real Estate,Short-term,Stocks,"60% Real Estate, 30% Stocks, 10% Bonds"
U1116,41,Female,167961,High,Retirement,Energy,Long-term,Crypto,"80% Stocks, 10% Crypto, 10% Cash"
U1117,33,Male,148815,Medium,Wealth Growth,Tech,Long-term,Real Estate,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1118,47,Female,90559,High,Education,Real Estate,Long-term,Mutual Funds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1119,33,Female,199893,Low,Education,Finance,Long-term,Bonds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1120,24,Male,79353,Low,Education,Tech,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1121,32,Female,157377,High,Wealth Growth,Energy,Short-term,Crypto,"80% Stocks, 10% Crypto, 10% Cash"
U1122,43,Male,111550,High,Emergency Fund,Finance,Long-term,Mixed Portfolio,"80% Stocks, 10% Crypto, 10% Cash"
U1123,61,Female,84686,Medium,House Purchase,Finance,Short-term,Crypto,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1124,53,Female,27070,High,Retirement,Energy,Short-term,Mixed Portfolio,"70% Stocks, 20% Bonds, 10% Crypto"
U1125,26,Male,57979,Medium,Retirement,Healthcare,Long-term,Mixed Portfolio,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1126,53,Female,90331,Medium,Education,Energy,Medium-term,Mutual Funds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1127,62,Other,198531,Medium,Retirement,Tech,Medium-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1128,41,Male,133018,Medium,House Purchase,Real Estate,Long-term,Mixed Portfolio,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1129,46,Male,37666,High,Wealth Growth,Consumer Goods,Medium-term,Mixed Portfolio,"70% Stocks, 20% Bonds, 10% Crypto"
U1130,44,Male,93484,Medium,House Purchase,Tech,Medium-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1131,31,Male,65364,Medium,Emergency Fund,Healthcare,Long-term,Real Estate,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1132,56,Other,160389,Low,House Purchase,Consumer Goods,Short-term,Stocks,"70% Stocks, 20% Bonds, 10% Crypto"
U1133,55,Female,26899,Medium,Retirement,Tech,Medium-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1134,54,Female,142155,Medium,Emergency Fund,Energy,Medium-term,Mutual Funds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1135,29,Female,83020,Low,Retirement,Healthcare,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1136,50,Male,159307,Medium,Wealth Growth,Tech,Medium-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1137,49,Male,161338,Medium,House Purchase,Energy,Short-term,Mutual Funds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1138,63,Female,71506,Low,House Purchase,Tech,Short-term,Real Estate,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1139,55,Male,190515,Medium,Emergency Fund,Finance,Long-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1140,33,Male,62368,Low,Emergency Fund,Energy,Long-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1141,64,Female,115205,Medium,Emergency Fund,Energy,Short-term,Crypto,"60% Real Estate, 30% Stocks, 10% Bonds"
U1142,20,Male,108002,Medium,Education,Tech,Long-term,Mutual Funds,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1143,24,Female,100898,Low,Education,Real Estate,Medium-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1144,31,Female,94636,Low,Retirement,Tech,Long-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1145,41,Male,138217,High,Retirement,Energy,Short-term,Stocks,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1146,38,Male,186337,Medium,Education,Finance,Long-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1147,56,Male,92089,Low,Emergency Fund,Tech,Medium-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1148,22,Male,40359,Low,House Purchase,Finance,Long-term,Mutual Funds,"80% Stocks, 10% Crypto, 10% Cash"
U1149,51,Male,157200,High,Emergency Fund,Consumer Goods,Long-term,Mixed Portfolio,"80% Stocks, 10% Crypto, 10% Cash"
U1150,52,Male,198248,Medium,Wealth Growth,Finance,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1151,62,Male,75298,Medium,Emergency Fund,Consumer Goods,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1152,25,Other,127539,Medium,Emergency Fund,Real Estate,Short-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1153,62,Male,152474,Medium,House Purchase,Consumer Goods,Long-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1154,24,Other,150486,Medium,Wealth Growth,Energy,Short-term,Bonds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1155,60,Female,178854,Medium,Wealth Growth,Healthcare,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1156,20,Male,130024,Low,Wealth Growth,Consumer Goods,Short-term,Bonds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1157,48,Other,47475,Medium,Education,Real Estate,Medium-term,Stocks,"60% Real Estate, 30% Stocks, 10% Bonds"
U1158,44,Other,175890,Medium,Retirement,Real Estate,Medium-term,Mutual Funds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1159,26,Female,161134,Medium,Retirement,Real Estate,Short-term,Mixed Portfolio,"60% Real Estate, 30% Stocks, 10% Bonds"
U1160,48,Male,124445,Medium,Wealth Growth,Real Estate,Short-term,Real Estate,"60% Real Estate, 30% Stocks, 10% Bonds"
U1161,41,Male,71047,Medium,House Purchase,Real Estate,Short-term,Bonds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1162,51,Female,95932,Low,Wealth Growth,Real Estate,Medium-term,Stocks,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1163,58,Male,65683,Low,Wealth Growth,Real Estate,Medium-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1164,24,Other,167132,High,House Purchase,Consumer Goods,Long-term,Stocks,"80% Stocks, 10% Crypto, 10% Cash"
U1165,47,Male,147258,Medium,Wealth Growth,Healthcare,Long-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1166,58,Other,53851,High,Emergency Fund,Finance,Medium-term,Mutual Funds,"70% Stocks, 20% Bonds, 10% Crypto"
U1167,21,Female,155411,Medium,Emergency Fund,Finance,Medium-term,Crypto,"Mixed: 30% Crypto, 30% Stocks, 20% Bonds, 20% Real Estate"
U1168,27,Male,55062,Medium,House Purchase,Consumer Goods,Medium-term,Mixed Portfolio,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1169,63,Male,85404,Medium,Retirement,Real Estate,Long-term,Stocks,"60% Real Estate, 30% Stocks, 10% Bonds"
U1170,22,Male,45947,High,House Purchase,Real Estate,Medium-term,Bonds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1171,45,Male,78093,Low,Education,Energy,Medium-term,Stocks,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1172,63,Male,36432,Low,Retirement,Healthcare,Medium-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1173,30,Female,166925,High,Education,Energy,Long-term,Bonds,"80% Stocks, 10% Crypto, 10% Cash"
U1174,63,Male,194882,Medium,Education,Energy,Medium-term,Mixed Portfolio,"60% Real Estate, 30% Stocks, 10% Bonds"
U1175,20,Female,75130,High,Wealth Growth,Real Estate,Long-term,Crypto,"60% Real Estate, 30% Stocks, 10% Bonds"
U1176,45,Female,105151,High,Retirement,Consumer Goods,Long-term,Stocks,"80% Stocks, 10% Crypto, 10% Cash"
U1177,50,Male,57407,Medium,House Purchase,Consumer Goods,Long-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1178,58,Female,107426,High,House Purchase,Healthcare,Long-term,Mixed Portfolio,"80% Stocks, 10% Crypto, 10% Cash"
U1179,35,Female,184358,Low,Wealth Growth,Energy,Long-term,Mixed Portfolio,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1180,56,Female,47816,High,Wealth Growth,Energy,Short-term,Real Estate,"70% Stocks, 20% Bonds, 10% Crypto"
U1181,55,Female,164694,Low,Emergency Fund,Healthcare,Medium-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1182,35,Male,50402,Low,Wealth Growth,Healthcare,Long-term,Bonds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1183,37,Male,166160,Medium,Education,Healthcare,Medium-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1184,52,Female,127407,Medium,Emergency Fund,Healthcare,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1185,44,Female,177356,High,House Purchase,Tech,Short-term,Real Estate,"80% Stocks, 10% Crypto, 10% Cash"
U1186,51,Male,187599,Medium,Wealth Growth,Finance,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1187,51,Male,76724,High,Emergency Fund,Healthcare,Long-term,Mixed Portfolio,"70% Stocks, 20% Bonds, 10% Crypto"
U1188,55,Female,78275,Medium,Retirement,Energy,Medium-term,Mixed Portfolio,"60% Real Estate, 30% Stocks, 10% Bonds"
U1189,29,Male,104723,Low,House Purchase,Consumer Goods,Short-term,Mutual Funds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1190,26,Other,71290,Medium,House Purchase,Consumer Goods,Short-term,Mixed Portfolio,"80% Stocks, 10% Crypto, 10% Cash"
U1191,52,Male,151093,High,Education,Finance,Long-term,Mutual Funds,"80% Stocks, 10% Crypto, 10% Cash"
U1192,50,Female,52437,High,House Purchase,Healthcare,Medium-term,Mutual Funds,"70% Stocks, 20% Bonds, 10% Crypto"
U1193,61,Female,69974,Medium,House Purchase,Tech,Long-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1194,52,Female,132339,Low,House Purchase,Tech,Medium-term,Crypto,"40% Bonds, 40% Mutual Funds, 20% Stocks"
U1195,47,Female,61490,Low,Wealth Growth,Healthcare,Long-term,Bonds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1196,51,Male,62170,Medium,Emergency Fund,Finance,Long-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1197,21,Male,22863,Low,Education,Finance,Medium-term,Stocks,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1198,35,Male,69982,Medium,House Purchase,Real Estate,Medium-term,Real Estate,"60% Real Estate, 30% Stocks, 10% Bonds"
U1199,30,Male,165436,Low,House Purchase,Healthcare,Medium-term,Bonds,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1200,33,Female,21457,Medium,Retirement,Energy,Long-term,Mutual Funds,"60% Real Estate, 30% Stocks, 10% Bonds"
U1201,28,Other,169966,Low,Emergency Fund,Healthcare,Short-term,Real Estate,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1202,47,Male,144804,Low,Emergency Fund,Healthcare,Long-term,Crypto,"50% Mutual Funds, 30% Bonds, 20% Real Estate"
U1203,47,Female,73460,High,Retirement,Energy,Medium-term,Mutual Funds,"70% Stocks, 20% Bonds, 10% Crypto"
U1204,31,Female,68090,High,Wealth Growth,Real Estate,Long-term,Mutual Funds,"60% Real Estate, 30% Stocks, 10% Bonds"
